"TYPE","VOCAB","CODE","STANDARD_CONCEPT_ID","STANDARD_VOCABULARY_ID","STANDARD_DOMAIN_ID"
"SpinalFusion","CPT","22557",NA,NA,NA
"SpinalFusion","CPT","22559",NA,NA,NA
"SpinalFusion","CPT","22560",NA,NA,NA
"SpinalFusion","CPT","22561",NA,NA,NA
"SpinalFusion","CPT","22562",NA,NA,NA
"SpinalFusion","CPT","22563",NA,NA,NA
"SpinalFusion","CPT","22564",NA,NA,NA
"SpinalFusion","CPT","22565",NA,NA,NA
"SpinalFusion","CPT","22566",NA,NA,NA
"SpinalFusion","CPT","22567",NA,NA,NA
"SpinalFusion","CPT","22568",NA,NA,NA
"SpinalFusion","CPT","22569",NA,NA,NA
"SpinalFusion","CPT","22570",NA,NA,NA
"SpinalFusion","CPT","22571",NA,NA,NA
"SpinalFusion","CPT","22572",NA,NA,NA
"SpinalFusion","CPT","22573",NA,NA,NA
"SpinalFusion","CPT","22574",NA,NA,NA
"SpinalFusion","CPT","22575",NA,NA,NA
"SpinalFusion","CPT","22576",NA,NA,NA
"SpinalFusion","CPT","22577",NA,NA,NA
"SpinalFusion","CPT","22578",NA,NA,NA
"SpinalFusion","CPT","22579",NA,NA,NA
"SpinalFusion","CPT","22580",NA,NA,NA
"SpinalFusion","CPT","22581",NA,NA,NA
"SpinalFusion","CPT","22582",NA,NA,NA
"SpinalFusion","CPT","22583",NA,NA,NA
"SpinalFusion","CPT","22584",NA,NA,NA
"SpinalFusion","CPT","22587",NA,NA,NA
"SpinalFusion","CPT","22588",NA,NA,NA
"SpinalFusion","CPT","22589",NA,NA,NA
"SpinalFusion","CPT","22591",NA,NA,NA
"SpinalFusion","CPT","22592",NA,NA,NA
"SpinalFusion","CPT","22593",NA,NA,NA
"SpinalFusion","CPT","22594",NA,NA,NA
"SpinalFusion","CPT","22596",NA,NA,NA
"SpinalFusion","CPT","22597",NA,NA,NA
"SpinalFusion","CPT","22598",NA,NA,NA
"SpinalFusion","CPT","22599",NA,NA,NA
"SpinalFusion","CPT","22601",NA,NA,NA
"SpinalFusion","CPT","22602",NA,NA,NA
"SpinalFusion","CPT","22603",NA,NA,NA
"SpinalFusion","CPT","22604",NA,NA,NA
"SpinalFusion","CPT","22605",NA,NA,NA
"SpinalFusion","CPT","22606",NA,NA,NA
"SpinalFusion","CPT","22607",NA,NA,NA
"SpinalFusion","CPT","22608",NA,NA,NA
"SpinalFusion","CPT","22609",NA,NA,NA
"SpinalFusion","CPT","22611",NA,NA,NA
"SpinalFusion","CPT","22613",NA,NA,NA
"SpinalFusion","CPT","22615",NA,NA,NA
"SpinalFusion","CPT","22616",NA,NA,NA
"SpinalFusion","CPT","22617",NA,NA,NA
"SpinalFusion","CPT","22618",NA,NA,NA
"SpinalFusion","CPT","22619",NA,NA,NA
"SpinalFusion","CPT","22620",NA,NA,NA
"SpinalFusion","CPT","22621",NA,NA,NA
"SpinalFusion","CPT","22622",NA,NA,NA
"SpinalFusion","CPT","22623",NA,NA,NA
"SpinalFusion","CPT","22624",NA,NA,NA
"SpinalFusion","CPT","22625",NA,NA,NA
"SpinalFusion","CPT","22626",NA,NA,NA
"SpinalFusion","CPT","22627",NA,NA,NA
"SpinalFusion","CPT","22628",NA,NA,NA
"SpinalFusion","CPT","22629",NA,NA,NA
"SpinalFusion","CPT","22631",NA,NA,NA
"SpinalFusion","CPT","22635",NA,NA,NA
"SpinalFusion","CPT","22636",NA,NA,NA
"SpinalFusion","CPT","22637",NA,NA,NA
"SpinalFusion","CPT","22638",NA,NA,NA
"SpinalFusion","CPT","22639",NA,NA,NA
"SpinalFusion","CPT","22640",NA,NA,NA
"SpinalFusion","CPT","22641",NA,NA,NA
"SpinalFusion","CPT","22642",NA,NA,NA
"SpinalFusion","CPT","22643",NA,NA,NA
"SpinalFusion","CPT","22644",NA,NA,NA
"SpinalFusion","CPT","22645",NA,NA,NA
"SpinalFusion","CPT","22646",NA,NA,NA
"SpinalFusion","CPT","22647",NA,NA,NA
"SpinalFusion","CPT","22648",NA,NA,NA
"SpinalFusion","CPT","22649",NA,NA,NA
"SpinalFusion","CPT","22650",NA,NA,NA
"SpinalFusion","CPT","22651",NA,NA,NA
"SpinalFusion","CPT","22652",NA,NA,NA
"SpinalFusion","CPT","22653",NA,NA,NA
"SpinalFusion","CPT","22654",NA,NA,NA
"SpinalFusion","CPT","22655",NA,NA,NA
"SpinalFusion","CPT","22656",NA,NA,NA
"SpinalFusion","CPT","22657",NA,NA,NA
"SpinalFusion","CPT","22658",NA,NA,NA
"SpinalFusion","CPT","22659",NA,NA,NA
"SpinalFusion","CPT","22660",NA,NA,NA
"SpinalFusion","CPT","22661",NA,NA,NA
"SpinalFusion","CPT","22662",NA,NA,NA
"SpinalFusion","CPT","22663",NA,NA,NA
"SpinalFusion","CPT","22664",NA,NA,NA
"SpinalFusion","CPT","22665",NA,NA,NA
"SpinalFusion","CPT","22666",NA,NA,NA
"SpinalFusion","CPT","22667",NA,NA,NA
"SpinalFusion","CPT","22668",NA,NA,NA
"SpinalFusion","CPT","22669",NA,NA,NA
"SpinalFusion","CPT","22670",NA,NA,NA
"SpinalFusion","CPT","22671",NA,NA,NA
"SpinalFusion","CPT","22672",NA,NA,NA
"SpinalFusion","CPT","22673",NA,NA,NA
"SpinalFusion","CPT","22674",NA,NA,NA
"SpinalFusion","CPT","22675",NA,NA,NA
"SpinalFusion","CPT","22676",NA,NA,NA
"SpinalFusion","CPT","22677",NA,NA,NA
"SpinalFusion","CPT","22678",NA,NA,NA
"SpinalFusion","CPT","22679",NA,NA,NA
"SpinalFusion","CPT","22680",NA,NA,NA
"SpinalFusion","CPT","22681",NA,NA,NA
"SpinalFusion","CPT","22682",NA,NA,NA
"SpinalFusion","CPT","22683",NA,NA,NA
"SpinalFusion","CPT","22684",NA,NA,NA
"SpinalFusion","CPT","22685",NA,NA,NA
"SpinalFusion","CPT","22686",NA,NA,NA
"SpinalFusion","CPT","22687",NA,NA,NA
"SpinalFusion","CPT","22688",NA,NA,NA
"SpinalFusion","CPT","22689",NA,NA,NA
"SpinalFusion","CPT","22690",NA,NA,NA
"SpinalFusion","CPT","22691",NA,NA,NA
"SpinalFusion","CPT","22692",NA,NA,NA
"SpinalFusion","CPT","22693",NA,NA,NA
"SpinalFusion","CPT","22694",NA,NA,NA
"SpinalFusion","CPT","22695",NA,NA,NA
"SpinalFusion","CPT","22696",NA,NA,NA
"SpinalFusion","CPT","22697",NA,NA,NA
"SpinalFusion","CPT","22698",NA,NA,NA
"SpinalFusion","CPT","22699",NA,NA,NA
"SpinalFusion","CPT","22700",NA,NA,NA
"SpinalFusion","CPT","22701",NA,NA,NA
"SpinalFusion","CPT","22702",NA,NA,NA
"SpinalFusion","CPT","22703",NA,NA,NA
"SpinalFusion","CPT","22704",NA,NA,NA
"SpinalFusion","CPT","22705",NA,NA,NA
"SpinalFusion","CPT","22706",NA,NA,NA
"SpinalFusion","CPT","22707",NA,NA,NA
"SpinalFusion","CPT","22708",NA,NA,NA
"SpinalFusion","CPT","22709",NA,NA,NA
"SpinalFusion","CPT","22710",NA,NA,NA
"SpinalFusion","CPT","22711",NA,NA,NA
"SpinalFusion","CPT","22712",NA,NA,NA
"SpinalFusion","CPT","22713",NA,NA,NA
"SpinalFusion","CPT","22714",NA,NA,NA
"SpinalFusion","CPT","22715",NA,NA,NA
"SpinalFusion","CPT","22716",NA,NA,NA
"SpinalFusion","CPT","22717",NA,NA,NA
"SpinalFusion","CPT","22718",NA,NA,NA
"SpinalFusion","CPT","22719",NA,NA,NA
"SpinalFusion","CPT","22720",NA,NA,NA
"SpinalFusion","CPT","22721",NA,NA,NA
"SpinalFusion","CPT","22722",NA,NA,NA
"SpinalFusion","CPT","22723",NA,NA,NA
"SpinalFusion","CPT","22724",NA,NA,NA
"SpinalFusion","CPT","22725",NA,NA,NA
"SpinalFusion","CPT","22726",NA,NA,NA
"SpinalFusion","CPT","22727",NA,NA,NA
"SpinalFusion","CPT","22728",NA,NA,NA
"SpinalFusion","CPT","22729",NA,NA,NA
"SpinalFusion","CPT","22730",NA,NA,NA
"SpinalFusion","CPT","22731",NA,NA,NA
"SpinalFusion","CPT","22732",NA,NA,NA
"SpinalFusion","CPT","22733",NA,NA,NA
"SpinalFusion","CPT","22734",NA,NA,NA
"SpinalFusion","CPT","22735",NA,NA,NA
"SpinalFusion","CPT","22736",NA,NA,NA
"SpinalFusion","CPT","22737",NA,NA,NA
"SpinalFusion","CPT","22738",NA,NA,NA
"SpinalFusion","CPT","22739",NA,NA,NA
"SpinalFusion","CPT","22740",NA,NA,NA
"SpinalFusion","CPT","22741",NA,NA,NA
"SpinalFusion","CPT","22742",NA,NA,NA
"SpinalFusion","CPT","22743",NA,NA,NA
"SpinalFusion","CPT","22744",NA,NA,NA
"SpinalFusion","CPT","22745",NA,NA,NA
"SpinalFusion","CPT","22746",NA,NA,NA
"SpinalFusion","CPT","22747",NA,NA,NA
"SpinalFusion","CPT","22748",NA,NA,NA
"SpinalFusion","CPT","22749",NA,NA,NA
"SpinalFusion","CPT","22750",NA,NA,NA
"SpinalFusion","CPT","22751",NA,NA,NA
"SpinalFusion","CPT","22752",NA,NA,NA
"SpinalFusion","CPT","22753",NA,NA,NA
"SpinalFusion","CPT","22754",NA,NA,NA
"SpinalFusion","CPT","22755",NA,NA,NA
"SpinalFusion","CPT","22756",NA,NA,NA
"SpinalFusion","CPT","22757",NA,NA,NA
"SpinalFusion","CPT","22758",NA,NA,NA
"SpinalFusion","CPT","22759",NA,NA,NA
"SpinalFusion","CPT","22760",NA,NA,NA
"SpinalFusion","CPT","22761",NA,NA,NA
"SpinalFusion","CPT","22762",NA,NA,NA
"SpinalFusion","CPT","22763",NA,NA,NA
"SpinalFusion","CPT","22764",NA,NA,NA
"SpinalFusion","CPT","22765",NA,NA,NA
"SpinalFusion","CPT","22766",NA,NA,NA
"SpinalFusion","CPT","22767",NA,NA,NA
"SpinalFusion","CPT","22768",NA,NA,NA
"SpinalFusion","CPT","22769",NA,NA,NA
"SpinalFusion","CPT","22770",NA,NA,NA
"SpinalFusion","CPT","22771",NA,NA,NA
"SpinalFusion","CPT","22772",NA,NA,NA
"SpinalFusion","CPT","22773",NA,NA,NA
"SpinalFusion","CPT","22774",NA,NA,NA
"SpinalFusion","CPT","22775",NA,NA,NA
"SpinalFusion","CPT","22776",NA,NA,NA
"SpinalFusion","CPT","22777",NA,NA,NA
"SpinalFusion","CPT","22778",NA,NA,NA
"SpinalFusion","CPT","22779",NA,NA,NA
"SpinalFusion","CPT","22780",NA,NA,NA
"SpinalFusion","CPT","22781",NA,NA,NA
"SpinalFusion","CPT","22782",NA,NA,NA
"SpinalFusion","CPT","22783",NA,NA,NA
"SpinalFusion","CPT","22784",NA,NA,NA
"SpinalFusion","CPT","22785",NA,NA,NA
"SpinalFusion","CPT","22786",NA,NA,NA
"SpinalFusion","CPT","22787",NA,NA,NA
"SpinalFusion","CPT","22788",NA,NA,NA
"SpinalFusion","CPT","22789",NA,NA,NA
"SpinalFusion","CPT","22790",NA,NA,NA
"SpinalFusion","CPT","22791",NA,NA,NA
"SpinalFusion","CPT","22792",NA,NA,NA
"SpinalFusion","CPT","22793",NA,NA,NA
"SpinalFusion","CPT","22794",NA,NA,NA
"SpinalFusion","CPT","22795",NA,NA,NA
"SpinalFusion","CPT","22796",NA,NA,NA
"SpinalFusion","CPT","22797",NA,NA,NA
"SpinalFusion","CPT","22798",NA,NA,NA
"SpinalFusion","CPT","22799",NA,NA,NA
"SpinalFusion","CPT","22801",NA,NA,NA
"SpinalFusion","CPT","22803",NA,NA,NA
"SpinalFusion","CPT","22805",NA,NA,NA
"SpinalFusion","CPT","22806",NA,NA,NA
"SpinalFusion","CPT","22807",NA,NA,NA
"SpinalFusion","CPT","22809",NA,NA,NA
"SpinalFusion","CPT","22811",NA,NA,NA
"PartialExcBone","CPT","22820",NA,NA,NA
"PartialExcBone","CPT","23121",NA,NA,NA
"PartialExcBone","CPT","23122",NA,NA,NA
"PartialExcBone","CPT","23123",NA,NA,NA
"PartialExcBone","CPT","23124",NA,NA,NA
"PartialExcBone","CPT","23126",NA,NA,NA
"PartialExcBone","CPT","23127",NA,NA,NA
"PartialExcBone","CPT","23128",NA,NA,NA
"PartialExcBone","CPT","23129",NA,NA,NA
"PartialExcBone","CPT","23131",NA,NA,NA
"PartialExcBone","CPT","23132",NA,NA,NA
"PartialExcBone","CPT","23133",NA,NA,NA
"PartialExcBone","CPT","23134",NA,NA,NA
"PartialExcBone","CPT","23135",NA,NA,NA
"PartialExcBone","CPT","23136",NA,NA,NA
"PartialExcBone","CPT","23137",NA,NA,NA
"PartialExcBone","CPT","23138",NA,NA,NA
"PartialExcBone","CPT","23139",NA,NA,NA
"PartialExcBone","CPT","23141",NA,NA,NA
"PartialExcBone","CPT","23142",NA,NA,NA
"PartialExcBone","CPT","23143",NA,NA,NA
"PartialExcBone","CPT","23144",NA,NA,NA
"PartialExcBone","CPT","23147",NA,NA,NA
"PartialExcBone","CPT","23148",NA,NA,NA
"PartialExcBone","CPT","23149",NA,NA,NA
"PartialExcBone","CPT","23151",NA,NA,NA
"PartialExcBone","CPT","23152",NA,NA,NA
"PartialExcBone","CPT","23153",NA,NA,NA
"PartialExcBone","CPT","23154",NA,NA,NA
"PartialExcBone","CPT","23181",NA,NA,NA
"PartialExcBone","CPT","23183",NA,NA,NA
"PartialExcBone","CPT","23185",NA,NA,NA
"PartialExcBone","CPT","23186",NA,NA,NA
"PartialExcBone","CPT","23187",NA,NA,NA
"PartialExcBone","CPT","23188",NA,NA,NA
"PartialExcBone","CPT","23189",NA,NA,NA
"PartialExcBone","CPT","23191",NA,NA,NA
"PartialExcBone","CPT","23192",NA,NA,NA
"PartialExcBone","CPT","23193",NA,NA,NA
"PartialExcBone","CPT","23194",NA,NA,NA
"PartialExcBone","CPT","23196",NA,NA,NA
"PartialExcBone","CPT","23197",NA,NA,NA
"PartialExcBone","CPT","23198",NA,NA,NA
"PartialExcBone","CPT","23199",NA,NA,NA
"PartialExcBone","CPT","23201",NA,NA,NA
"PartialExcBone","CPT","23202",NA,NA,NA
"PartialExcBone","CPT","23203",NA,NA,NA
"PartialExcBone","CPT","23204",NA,NA,NA
"PartialExcBone","CPT","23205",NA,NA,NA
"PartialExcBone","CPT","23206",NA,NA,NA
"PartialExcBone","CPT","23207",NA,NA,NA
"PartialExcBone","CPT","23208",NA,NA,NA
"PartialExcBone","CPT","23209",NA,NA,NA
"PartialExcBone","CPT","23211",NA,NA,NA
"PartialExcBone","CPT","23212",NA,NA,NA
"PartialExcBone","CPT","23213",NA,NA,NA
"PartialExcBone","CPT","23214",NA,NA,NA
"PartialExcBone","CPT","23215",NA,NA,NA
"PartialExcBone","CPT","23216",NA,NA,NA
"PartialExcBone","CPT","23217",NA,NA,NA
"PartialExcBone","CPT","23218",NA,NA,NA
"PartialExcBone","CPT","23219",NA,NA,NA
"PartialExcBone","CPT","24111",NA,NA,NA
"PartialExcBone","CPT","24112",NA,NA,NA
"PartialExcBone","CPT","24113",NA,NA,NA
"PartialExcBone","CPT","24114",NA,NA,NA
"PartialExcBone","CPT","24117",NA,NA,NA
"PartialExcBone","CPT","24118",NA,NA,NA
"PartialExcBone","CPT","24119",NA,NA,NA
"PartialExcBone","CPT","24121",NA,NA,NA
"PartialExcBone","CPT","24122",NA,NA,NA
"PartialExcBone","CPT","24123",NA,NA,NA
"PartialExcBone","CPT","24124",NA,NA,NA
"PartialExcBone","CPT","24127",NA,NA,NA
"PartialExcBone","CPT","24128",NA,NA,NA
"PartialExcBone","CPT","24129",NA,NA,NA
"PartialExcBone","CPT","24141",NA,NA,NA
"PartialExcBone","CPT","24142",NA,NA,NA
"PartialExcBone","CPT","24143",NA,NA,NA
"PartialExcBone","CPT","24144",NA,NA,NA
"PartialExcBone","CPT","24146",NA,NA,NA
"PartialExcBone","CPT","24148",NA,NA,NA
"PartialExcBone","CPT","25121",NA,NA,NA
"PartialExcBone","CPT","25122",NA,NA,NA
"PartialExcBone","CPT","25123",NA,NA,NA
"PartialExcBone","CPT","25124",NA,NA,NA
"PartialExcBone","CPT","25127",NA,NA,NA
"PartialExcBone","CPT","25128",NA,NA,NA
"PartialExcBone","CPT","25129",NA,NA,NA
"PartialExcBone","CPT","25131",NA,NA,NA
"PartialExcBone","CPT","25132",NA,NA,NA
"PartialExcBone","CPT","25133",NA,NA,NA
"PartialExcBone","CPT","25134",NA,NA,NA
"PartialExcBone","CPT","25152",NA,NA,NA
"PartialExcBone","CPT","25153",NA,NA,NA
"PartialExcBone","CPT","25154",NA,NA,NA
"PartialExcBone","CPT","25155",NA,NA,NA
"PartialExcBone","CPT","25156",NA,NA,NA
"PartialExcBone","CPT","25157",NA,NA,NA
"PartialExcBone","CPT","25158",NA,NA,NA
"PartialExcBone","CPT","25159",NA,NA,NA
"PartialExcBone","CPT","25160",NA,NA,NA
"PartialExcBone","CPT","25161",NA,NA,NA
"PartialExcBone","CPT","25162",NA,NA,NA
"PartialExcBone","CPT","25163",NA,NA,NA
"PartialExcBone","CPT","25164",NA,NA,NA
"PartialExcBone","CPT","25165",NA,NA,NA
"PartialExcBone","CPT","25166",NA,NA,NA
"PartialExcBone","CPT","25167",NA,NA,NA
"PartialExcBone","CPT","25168",NA,NA,NA
"PartialExcBone","CPT","25169",NA,NA,NA
"PartialExcBone","CPT","25171",NA,NA,NA
"PartialExcBone","CPT","25172",NA,NA,NA
"PartialExcBone","CPT","25173",NA,NA,NA
"PartialExcBone","CPT","25174",NA,NA,NA
"PartialExcBone","CPT","25175",NA,NA,NA
"PartialExcBone","CPT","25176",NA,NA,NA
"PartialExcBone","CPT","25177",NA,NA,NA
"PartialExcBone","CPT","25178",NA,NA,NA
"PartialExcBone","CPT","25179",NA,NA,NA
"PartialExcBone","CPT","25180",NA,NA,NA
"PartialExcBone","CPT","25181",NA,NA,NA
"PartialExcBone","CPT","25182",NA,NA,NA
"PartialExcBone","CPT","25183",NA,NA,NA
"PartialExcBone","CPT","25184",NA,NA,NA
"PartialExcBone","CPT","25185",NA,NA,NA
"PartialExcBone","CPT","25186",NA,NA,NA
"PartialExcBone","CPT","25187",NA,NA,NA
"PartialExcBone","CPT","25188",NA,NA,NA
"PartialExcBone","CPT","25189",NA,NA,NA
"PartialExcBone","CPT","25190",NA,NA,NA
"PartialExcBone","CPT","25191",NA,NA,NA
"PartialExcBone","CPT","25192",NA,NA,NA
"PartialExcBone","CPT","25193",NA,NA,NA
"PartialExcBone","CPT","25194",NA,NA,NA
"PartialExcBone","CPT","25195",NA,NA,NA
"PartialExcBone","CPT","25196",NA,NA,NA
"PartialExcBone","CPT","25197",NA,NA,NA
"PartialExcBone","CPT","25198",NA,NA,NA
"PartialExcBone","CPT","25199",NA,NA,NA
"PartialExcBone","CPT","25200",NA,NA,NA
"PartialExcBone","CPT","25201",NA,NA,NA
"PartialExcBone","CPT","25202",NA,NA,NA
"PartialExcBone","CPT","25203",NA,NA,NA
"PartialExcBone","CPT","25204",NA,NA,NA
"PartialExcBone","CPT","25205",NA,NA,NA
"PartialExcBone","CPT","25206",NA,NA,NA
"PartialExcBone","CPT","25207",NA,NA,NA
"PartialExcBone","CPT","25208",NA,NA,NA
"PartialExcBone","CPT","25209",NA,NA,NA
"PartialExcBone","CPT","25211",NA,NA,NA
"PartialExcBone","CPT","25212",NA,NA,NA
"PartialExcBone","CPT","25213",NA,NA,NA
"PartialExcBone","CPT","25214",NA,NA,NA
"PartialExcBone","CPT","25216",NA,NA,NA
"PartialExcBone","CPT","25217",NA,NA,NA
"PartialExcBone","CPT","25218",NA,NA,NA
"PartialExcBone","CPT","25219",NA,NA,NA
"PartialExcBone","CPT","25220",NA,NA,NA
"PartialExcBone","CPT","25221",NA,NA,NA
"PartialExcBone","CPT","25222",NA,NA,NA
"PartialExcBone","CPT","25223",NA,NA,NA
"PartialExcBone","CPT","25224",NA,NA,NA
"PartialExcBone","CPT","25225",NA,NA,NA
"PartialExcBone","CPT","25226",NA,NA,NA
"PartialExcBone","CPT","25227",NA,NA,NA
"PartialExcBone","CPT","25228",NA,NA,NA
"PartialExcBone","CPT","25229",NA,NA,NA
"PartialExcBone","CPT","25231",NA,NA,NA
"PartialExcBone","CPT","25232",NA,NA,NA
"PartialExcBone","CPT","25233",NA,NA,NA
"PartialExcBone","CPT","25234",NA,NA,NA
"PartialExcBone","CPT","25235",NA,NA,NA
"PartialExcBone","CPT","25236",NA,NA,NA
"PartialExcBone","CPT","25237",NA,NA,NA
"PartialExcBone","CPT","25238",NA,NA,NA
"PartialExcBone","CPT","25239",NA,NA,NA
"PartialExcBone","CPT","26201",NA,NA,NA
"PartialExcBone","CPT","26202",NA,NA,NA
"PartialExcBone","CPT","26203",NA,NA,NA
"PartialExcBone","CPT","26204",NA,NA,NA
"PartialExcBone","CPT","26206",NA,NA,NA
"PartialExcBone","CPT","26207",NA,NA,NA
"PartialExcBone","CPT","26208",NA,NA,NA
"PartialExcBone","CPT","26209",NA,NA,NA
"PartialExcBone","CPT","26211",NA,NA,NA
"PartialExcBone","CPT","26212",NA,NA,NA
"PartialExcBone","CPT","26213",NA,NA,NA
"PartialExcBone","CPT","26214",NA,NA,NA
"PartialExcBone","CPT","26216",NA,NA,NA
"PartialExcBone","CPT","26217",NA,NA,NA
"PartialExcBone","CPT","26218",NA,NA,NA
"PartialExcBone","CPT","26219",NA,NA,NA
"PartialExcBone","CPT","26220",NA,NA,NA
"PartialExcBone","CPT","26221",NA,NA,NA
"PartialExcBone","CPT","26222",NA,NA,NA
"PartialExcBone","CPT","26223",NA,NA,NA
"PartialExcBone","CPT","26224",NA,NA,NA
"PartialExcBone","CPT","26225",NA,NA,NA
"PartialExcBone","CPT","26226",NA,NA,NA
"PartialExcBone","CPT","26227",NA,NA,NA
"PartialExcBone","CPT","26228",NA,NA,NA
"PartialExcBone","CPT","26229",NA,NA,NA
"PartialExcBone","CPT","26231",NA,NA,NA
"PartialExcBone","CPT","26232",NA,NA,NA
"PartialExcBone","CPT","26233",NA,NA,NA
"PartialExcBone","CPT","26234",NA,NA,NA
"PartialExcBone","CPT","26237",NA,NA,NA
"PartialExcBone","CPT","26238",NA,NA,NA
"PartialExcBone","CPT","26239",NA,NA,NA
"PartialExcBone","CPT","26240",NA,NA,NA
"PartialExcBone","CPT","26241",NA,NA,NA
"PartialExcBone","CPT","26242",NA,NA,NA
"PartialExcBone","CPT","26243",NA,NA,NA
"PartialExcBone","CPT","26244",NA,NA,NA
"PartialExcBone","CPT","26245",NA,NA,NA
"PartialExcBone","CPT","26246",NA,NA,NA
"PartialExcBone","CPT","26247",NA,NA,NA
"PartialExcBone","CPT","26248",NA,NA,NA
"PartialExcBone","CPT","26249",NA,NA,NA
"PartialExcBone","CPT","26251",NA,NA,NA
"PartialExcBone","CPT","26252",NA,NA,NA
"PartialExcBone","CPT","26253",NA,NA,NA
"PartialExcBone","CPT","26254",NA,NA,NA
"PartialExcBone","CPT","26256",NA,NA,NA
"PartialExcBone","CPT","26257",NA,NA,NA
"PartialExcBone","CPT","26258",NA,NA,NA
"PartialExcBone","CPT","26259",NA,NA,NA
"PartialExcBone","CPT","27068",NA,NA,NA
